摘要,事务密钥,事务ID,事务类型,状态,项目键,项目名称,项目类型,项目负责人,项目主管 ID,项目描述,优先级,解决方案,经办人,经办人 ID,报告人,报告人 ID,创建者,创建者 ID,已创建,已更新,最近查看过的,已解决,截止日期,表决,标签,描述,环境,管理关注列表,管理关注列表,管理关注列表,关注者 ID,关注者 ID,关注者 ID,登记工作日志,登记工作日志,原始预估,剩余估计量,所用时间,工作量比率,初始预估时间总计,Σ 剩余估计量,总耗费时间,安全级别,附件,附件,附件,附件,附件,附件,自定义字段 (Actual Result),自定义字段 (Affected Version),自定义字段 (Affected services),自定义字段 (Affects Versions),自定义字段 (Approvals),自定义字段 (Asset type),自定义字段 (Atlassian 项目),自定义字段 (Atlassian 项目状态),自定义字段 (BOM Name),自定义字段 (BOM name and version),自定义字段 (Bug Fix Point),自定义字段 (Category),自定义字段 (Client),自定义字段 (Customer Name),自定义字段 (Design Completion Date),自定义字段 (Device),自定义字段 (End Date),自定义字段 (Epic Color),自定义字段 (Epic Name),自定义字段 (Epic Status),自定义字段 (Expected Due Date),自定义字段 (Expected Result),自定义字段 (Feasibility Completion Date),自定义字段 (Fix Versions),自定义字段 (Issue color),自定义字段 (Locked forms),自定义字段 (Open forms),自定义字段 (Pain Point ),自定义字段 (Priority),自定义字段 (Prod Approved By),自定义字段 (Production Completion Date),自定义字段 (Production Only),自定义字段 (Production Status),自定义字段 (Project),自定义字段 (Project overview key),自定义字段 (Project overview status),自定义字段 (R&D completion time),自定义字段 (Rank),自定义字段 (Reference),自定义字段 (Reproduction),自定义字段 (Request Type),自定义字段 (Request language),自定义字段 (Request participants),自定义字段 (Resolution),自定义字段 (Resolver),自定义字段 (Resolver),自定义字段 (Resolver)ID,自定义字段 (Resolver),满意度评级,自定义字段 (Satisfaction date),自定义字段 (Scheduled Completion Date),自定义字段 (Sentiment),自定义字段 (Solution),自定义字段 (Solution Approach),自定义字段 (Staging Approved By),自定义字段 (Staging Completion Date),自定义字段 (Staging Status),自定义字段 (Start date),自定义字段 (Story Points),自定义字段 (Story point estimate),自定义字段 (Story point estimate),自定义字段 (Story point estimate),自定义字段 (Submitted forms),自定义字段 (Tag),自定义字段 (Target Completion Date),自定义字段 (Target Timeline),自定义字段 (Target end),自定义字段 (Target start),自定义字段 (Task Point),自定义字段 (Task Point),自定义字段 (Task Point),自定义字段 (Team),自定义字段 (Time to first response),自定义字段 (Time to resolution),自定义字段 (Total forms),自定义字段 (Trade Show Date),自定义字段 (Version),自定义字段 (Version Type),自定义字段 (Vulnerability),自定义字段 (Workflow Needed),自定义字段 ([CHART] Date of First Response),自定义字段 ([CHART] Time in Status),自定义字段 (development),自定义字段 (交付状态),自定义字段 (交付进度),自定义字段 (产品需求状态),自定义字段 (产品需求状态),自定义字段 (产品需求状态),自定义字段 (优先级),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (值),自定义字段 (工作类别),自定义字段 (工作量),自定义字段 (已链接的项目),自定义字段 (影响),自定义字段 (影响分数),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (微软),自定义字段 (想法已归档),自定义字段 (想法归档时间),自定义字段 (想法的简短描述),自定义字段 (截至日期),自定义字段 (报告人),自定义字段 (报告人)ID,自定义字段 (提测时间),自定义字段 (文档),自定义字段 (时间跟踪),自定义字段 (时间跟踪),自定义字段 (洞察信息),自定义字段 (环境),自定义字段 (环境),自定义字段 (环境),自定义字段 (目标),自定义字段 (类别),自定义字段 (置信度),自定义字段 (规格准备就绪),自定义字段 (设计准备就绪),自定义字段 (评论),自定义字段 (路线图),自定义字段 (重点领域),自定义字段 (项目),自定义字段 (项目开始),自定义字段 (项目目标),自定义字段 (预算),评论,评论,评论,评论,评论,父项,父项关键字,Parent summary,状态类别,状态类别已更改
外观概念设计,DC320-52,36809,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:36 下午,10/十月/25 3:12 上午,,10/十月/25 3:07 上午,14/十月/25 12:00 上午,0,,,,Wenbo Quan,Yanwen Wang,,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6701072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034fb:,,,,,,,,,,,,,,,,,,,,19/九月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-10-09 08:01:48.1,11679_*:*_1_*:*_9451389820_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/十月/25 4:01 上午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;9.30已经完成一次内部的外观和结构设计方案评审，问题修改中,"10/十月/25 3:06 上午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;电路板堆叠上，已经按照硬件需求将低压侧的四个端子布局完成，预计的产品宽度尺寸175没有变动。
端子的型号已经反馈硬件。

电路板垂直放置的方案，经过和硬件评估，布局空间受限，需要增加多个电路板堆叠，宽度尺寸减小的优势不明显，且结构布局连接上比较复杂，方案不再推进。",,,,36607,DC320-17,结构设计 Structural design,完成,10/十月/25 3:07 上午
外观评审,DC320-53,36810,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Gift Wang,6319068fea661fd37d508095,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:36 下午,15/十月/25 6:52 上午,,15/十月/25 6:50 上午,13/十月/25 12:00 上午,0,,,,Wenbo Quan,Yanwen Wang,,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1c0b5be6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034fj:,,,,,,,,,,,,,,,,,,,,03/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-10-10 07:08:26.603,11679_*:*_1_*:*_10836856144_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/十月/25 3:08 上午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;外观设计完成，待评审，Gift预约会议时间，最晚13号完成。,"15/十月/25 6:52 上午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;10.14号外观评审已经完成，整体外观没有问题。
尺寸需要配合SHUNT的确认调整。",,,,36607,DC320-17,结构设计 Structural design,完成,15/十月/25 6:50 上午
结构细节设计,DC320-54,36811,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:36 下午,12/十一月/25 9:37 下午,,12/十一月/25 9:36 下午,07/十一月/25 12:00 上午,0,,,,Wenbo Quan,Yanwen Wang,,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2a368bb5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034fr:,,,,,,,,,,,,,,,,,,,,13/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-10-13 09:52:14.724,11679_*:*_1_*:*_10649721175_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13/十月/25 5:52 上午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;[~accountid:712020:8b826984-d86c-4a33-a641-251511cda1da] [~accountid:712020:44c146bf-076a-4f8e-a202-598eca2d3595] 
结构板框图已经发出","16/十月/25 8:45 下午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;*需要确认Shunt选型*.目前结构细节设计仅能进行与PCB相关的Layout的调整。
其他的工作无法开展。","27/十月/25 8:52 下午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;1.结构上已经配合硬件调整了部分器件布局，已经进行了结构布局审核，完成了图档核对。
*2.毫欧和首诚的Shunt选型待定，shunt安装相关的结构细节设计工作未开始。*","30/十月/25 9:36 下午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;10/30 硬件反馈主板增加 Y电容的焊接支架，
补充设计任务","12/十一月/25 9:37 下午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;Y电容支架设计完成，表体已经完成评审。
",36607,DC320-17,结构设计 Structural design,完成,12/十一月/25 9:36 下午
第一版3D打印样机试装,DC320-55,36812,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:36 下午,27/十一月/25 6:00 上午,,27/十一月/25 6:00 上午,27/十一月/25 12:00 上午,0,,,,Wenbo Quan,Yanwen Wang,,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26951d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034fz:,,,,,,,,,,,,,,,,,,,,13/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-10-31 01:29:41.29,11679_*:*_1_*:*_13312946556_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/十月/25 9:29 下午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;Shunt确认后，根据前置任务时间节点再做更新。,12/十一月/25 9:39 下午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;目前按毫欧SHUNT的方案做结构件手板加工。,"16/十一月/25 8:00 下午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;[~accountid:712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2] 
后续的工作已经更新节点。",,,36607,DC320-17,结构设计 Structural design,完成,27/十一月/25 6:00 上午
优化设计&图纸确认,DC320-56,36813,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Gift Wang,6319068fea661fd37d508095,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:36 下午,18/十二月/25 4:36 上午,,18/十二月/25 4:36 上午,02/十二月/25 12:00 上午,0,,,,Wenbo Quan,Yanwen Wang,,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ef38ec5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034g7:,,,,,,,,,,,,,,,,,,,,28/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-12-18 09:36:39.651,11679_*:*_1_*:*_14552643900_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/十二月/25 4:36 上午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;根据温升测试调增内部结构。

确认DC320 SHUNT导线规格书，根据规格书更新压线结构。",,,,,36607,DC320-17,结构设计 Structural design,完成,18/十二月/25 4:36 上午
最终版3D打印样机,DC320-57,36814,子任务,IN PROGRESS正在进行,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:36 下午,12/一月/26 2:29 上午,,,30/一月/26 12:00 上午,0,,,,Wenbo Quan,Yanwen Wang,,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ae6c20f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034gf:,,,,,,,,,,,,,,,,,,,,03/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-12-26 01:17:26.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25/十二月/25 8:17 下午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;已经和硬件确认RS485的端子位置不做修改，维持目前插拔的端子。

导线规格确认按规格书调整固定结构，本周外发3D打印。",30/十二月/25 7:33 下午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;3D样品加工中，预计4号到样。,"11/一月/26 9:33 下午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;根据硬件的反馈涉及安规的结构进行部分调整，设计修改中。
硬件反馈Shunt导线变为三根，结构托线盘和上壳的结构调整，待线材规格书确认后调整。",,,36607,DC320-17,结构设计 Structural design,正在进行,25/十二月/25 8:18 下午
开模风险评估,DC320-58,36815,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:36 下午,11/一月/26 9:34 下午,,,23/一月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@67f51929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034gn:,,,,,,,,,,,,,,,,,,,,16/一月/26 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36607,DC320-17,结构设计 Structural design,待办,11/六月/25 8:36 下午
最终结构评审,DC320-59,36816,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Gift Wang,6319068fea661fd37d508095,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:37 下午,11/一月/26 9:33 下午,,,16/一月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@11414781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034gv:,,,,,,,,,,,,,,,,,,,,15/一月/26 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36607,DC320-17,结构设计 Structural design,待办,11/六月/25 8:37 下午
供应商开模,DC320-64,36821,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:58 下午,11/一月/26 9:46 下午,,,16/三月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d1f898f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034gz:,,,,,,,,,,,,,,,,,,,,30/一月/26 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36607,DC320-17,结构设计 Structural design,待办,11/六月/25 8:58 下午
T0样品验证,DC320-60,36817,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:37 下午,11/一月/26 9:46 下午,,,20/三月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6a346a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034h3:,,,,,,,,,,,,,,,,,,,,17/三月/26 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36607,DC320-17,结构设计 Structural design,待办,11/六月/25 8:37 下午
模具调整,DC320-61,36818,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:37 下午,16/十一月/25 7:59 下午,,,06/三月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@245e165c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034hb:,,,,,,,,,,,,,,,,,,,,17/二月/26 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36607,DC320-17,结构设计 Structural design,待办,11/六月/25 8:37 下午
T1模具样品评审,DC320-62,36819,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Gift Wang,6319068fea661fd37d508095,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:37 下午,16/十一月/25 7:59 下午,,,26/三月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@21319aa8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034hj:,,,,,,,,,,,,,,,,,,,,09/三月/26 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36607,DC320-17,结构设计 Structural design,待办,11/六月/25 8:37 下午
小批量试产,DC320-63,36820,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,,,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:37 下午,16/十一月/25 8:08 下午,,,,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@45003737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034hr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36607,DC320-17,结构设计 Structural design,待办,11/六月/25 8:37 下午
Remote Dispaly 需求分析,DC320-76,42719,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,15/十月/25 6:54 上午,19/十月/25 8:44 下午,,19/十月/25 8:44 下午,17/十月/25 12:00 上午,0,,,,Wenbo Quan,,,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@70d07a61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034ht:,,,,,,,,,,,,,,,,,,,,14/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_1662636_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/十月/25 8:46 下午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;与硬件沟通了预计需要的PCB板面积,,,,,36607,DC320-17,结构设计 Structural design,完成,19/十月/25 8:44 下午
Remote Dispaly 外观概念设计,DC320-77,42720,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,15/十月/25 6:57 上午,27/十月/25 8:45 下午,,27/十月/25 8:45 下午,29/十月/25 12:00 上午,0,,,,Wenbo Quan,,,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37b4797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034hu:,,,,,,,,,,,,,,,,,,,,20/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_2_*:*_395260982_*|*_11680_*:*_1_*:*_691240285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/十月/25 12:38 上午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;22号进行了一次内部的方案沟通，方案要做一些调整，复用现有92*92的开孔尺寸，会和尺寸冲突，需要在做评估。,"24/十月/25 1:19 上午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;因尺寸限制，不复用现有的开孔尺寸，根据实际结构布局情况开孔。
结构方案调整中",,,,36607,DC320-17,结构设计 Structural design,完成,27/十月/25 8:45 下午
Remote Dispaly 外观评审,DC320-78,42721,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,,,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,Wenbo Quan,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,15/十月/25 7:00 上午,29/十月/25 1:39 上午,,29/十月/25 1:35 上午,29/十月/25 12:00 上午,0,,,,Wenbo Quan,,,712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59f70c28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034hu:i,,,,,,,,,,,,,,,,,,,,27/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_1190132186_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/十月/25 1:39 上午;712020:9ce54b7b-7d3f-4e7c-bc5c-ed98cb7903b2;外观结构问题已经调整，Gift和Howard评审确认，结构按此版本评估电路板布局空间。,,,,,36607,DC320-17,结构设计 Structural design,完成,29/十月/25 1:35 上午
